PART_ID,total_rows,consistent_count,watch_count,suspect_changed_count,new_missing_count,high_count,medium_count,high_rate,avg_distance_change_pct,median_distance_change_pct,max_distance_change_pct
173,100,6,5,89,0,89,5,0.89,1.0602,0.6948,13.7059
174,100,9,7,84,0,84,7,0.84,1.6858,0.6766,31.9231
195,100,10,6,83,0,83,7,0.83,0.8942,0.632,3.9321
214,100,9,9,82,0,82,9,0.82,2.3398,0.854,20.2
175,100,13,6,81,0,81,6,0.81,2.351,0.8105,32.4444
194,100,16,2,81,0,81,3,0.81,1.4907,0.9913,7.8344
171,100,10,10,80,0,80,10,0.8,2.0729,0.7771,77.4
176,100,19,1,80,0,80,1,0.8,1.6243,0.8744,22.5833
197,100,14,6,80,0,80,6,0.8,0.3941,0.4146,0.9851
196,100,16,4,79,0,79,5,0.79,1.8603,0.7073,67.0
166,100,10,12,78,0,78,12,0.78,1.0281,0.5446,9.28
179,100,10,12,78,0,78,12,0.78,1.5586,0.7252,16.7045
208,100,12,10,78,0,78,10,0.78,0.7417,0.9162,1.3341
212,100,15,7,78,0,78,7,0.78,0.9552,0.5655,7.5769
177,100,14,9,77,0,77,9,0.77,5.3802,0.7206,107.7143
181,100,14,9,77,0,77,9,0.77,1.802,0.636,56.4615
209,100,16,8,76,0,76,8,0.76,12.6991,6.0174,176.8182
170,100,19,6,75,0,75,6,0.75,1.1506,0.539,17.5
185,100,12,13,75,0,75,13,0.75,0.9889,0.6016,6.9123
191,100,14,10,75,0,75,11,0.75,1.8375,0.9349,20.44
158,100,15,12,73,0,73,12,0.73,0.5609,0.537,2.7237
161,100,17,10,73,0,73,10,0.73,0.8757,0.5022,7.7619
163,100,13,14,73,0,73,14,0.73,0.7144,0.5217,5.6667
183,100,14,13,73,0,73,13,0.73,3.1654,0.4877,148.6667
159,100,10,18,72,0,72,18,0.72,2.5768,0.5424,38.8889
190,100,20,7,72,0,72,8,0.72,0.5623,0.6037,2.5232
233,100,13,15,72,0,72,15,0.72,0.6797,0.4887,10.9375
155,100,13,16,71,0,71,16,0.71,1.7438,0.6082,27.4167
165,100,18,11,71,0,71,11,0.71,0.843,0.5352,5.0625
226,100,13,16,71,0,71,16,0.71,0.5597,0.5799,2.7397
227,100,14,15,71,0,71,15,0.71,1.9018,0.6834,13.1667
152,100,13,17,70,0,70,17,0.7,0.8591,0.5337,12.2895
220,100,18,12,70,0,70,12,0.7,0.6582,0.5335,3.403
178,100,19,12,69,0,69,12,0.69,2.9797,0.6918,34.3333
188,100,14,16,69,0,69,17,0.69,0.6884,0.5261,3.2247
231,100,16,15,69,0,69,15,0.69,0.7708,0.4562,5.3793
182,100,17,15,68,0,68,15,0.68,0.8769,0.4768,12.7576
184,100,20,12,68,0,68,12,0.68,1.2812,0.6418,18.3704
213,100,16,16,68,0,68,16,0.68,1.3885,0.5319,22.6
216,100,17,15,68,0,68,15,0.68,1.0448,0.4943,14.6471
180,100,19,14,67,0,67,14,0.67,2.4397,0.6118,33.1905
223,100,14,19,67,0,67,19,0.67,0.4321,0.3826,3.1912
192,100,27,6,66,0,66,7,0.66,1.4373,1.2887,6.764
221,100,14,20,66,0,66,20,0.66,0.3823,0.375,1.4478
151,100,20,15,65,0,65,15,0.65,0.9237,0.5025,19.2
169,100,19,16,65,0,65,16,0.65,0.7717,0.4248,7.913
230,100,20,15,65,0,65,15,0.65,0.7446,0.5137,6.5455
232,100,14,21,65,0,65,21,0.65,1.0421,0.476,13.4444
239,100,18,17,65,0,65,17,0.65,0.9199,0.5149,7.0455
240,100,17,18,65,0,65,18,0.65,0.8422,0.4415,6.4444
150,100,16,20,64,0,64,20,0.64,0.9231,0.3999,12.6
189,100,15,21,64,0,64,21,0.64,0.5057,0.416,2.5093
238,100,13,23,64,0,64,23,0.64,0.8357,0.4363,12.4
153,100,15,22,63,0,63,22,0.63,0.4631,0.3762,1.9
160,100,23,14,63,0,63,14,0.63,1.1975,0.5564,10.8667
164,100,22,15,63,0,63,15,0.63,0.6143,0.4454,4.6735
167,100,19,18,63,0,63,18,0.63,0.819,0.415,20.75
215,100,24,13,63,0,63,13,0.63,0.4924,0.3958,2.8333
241,100,20,17,63,0,63,17,0.63,0.9014,0.4331,13.2667
172,100,30,8,62,0,62,8,0.62,2.5114,0.6112,46.0
154,100,24,15,61,0,61,15,0.61,0.4026,0.3952,0.951
193,100,34,6,60,0,60,6,0.6,0.4325,0.6048,0.8695
207,100,13,27,60,0,60,27,0.6,0.3177,0.3358,0.6731
210,100,19,21,60,0,60,21,0.6,0.7661,0.3885,8.359
222,100,30,10,60,0,60,10,0.6,0.5781,0.464,2.7157
228,100,20,21,59,0,59,21,0.59,0.5745,0.4692,2.9811
229,100,20,21,59,0,59,21,0.59,0.7309,0.384,16.6
162,100,30,15,55,0,55,15,0.55,1.3651,0.4804,12.6667
